status,score,method,nces_unitid,nces_name,school_id,school_name
unmatched,0.000,none,105534,Pima Medical Institute-Tucson,,
unmatched,0.000,none,105543,Pima Medical Institute-Albuquerque,,
updated,0.900,exact_name,105589,Prescott College,51,Prescott College
unmatched,0.000,none,105659,Refrigeration School Inc,,
unmatched,0.000,none,105668,Rio Salado College,,
unmatched,0.000,none,105677,Roberto-Venn School of Luthiery,,
unmatched,0.000,none,105747,Scottsdale Community College,,
unmatched,0.000,none,105792,South Mountain Community College,,
unmatched,0.000,none,105899,Arizona Christian University,,
unmatched,0.000,none,106041,Universal Technical Institute of Arizona Inc,,
unmatched,0.000,none,106148,Yavapai College,,
unmatched,0.000,none,106245,University of Arkansas at Little Rock,,
unmatched,0.000,none,106263,University of Arkansas for Medical Sciences,,
unmatched,0.000,none,106306,Arkansas Baptist College,,
unmatched,0.000,none,106315,Arkansas Beauty School-Little Rock,,
unmatched,0.000,none,106324,Arkansas Beauty College,,
updated,0.900,exact_name,106342,Lyon College,239,Lyon College
unmatched,0.000,none,106351,Arkansas Technical School,,
unmatched,0.000,none,10635101,Arkansas College of Barbering and Hair Design,,
unmatched,0.000,none,106360,Arthur's Beauty College,,
updated,0.900,exact_name,106397,University of Arkansas,248,University of Arkansas
unmatched,0.000,none,106412,University of Arkansas at Pine Bluff,,
unmatched,0.000,none,106449,Arkansas State University-Beebe,,
updated,0.900,exact_name,106458,Arkansas State University,248,University of Arkansas
unmatched,0.000,none,106467,Arkansas Tech University,,
unmatched,0.000,none,106485,University of Arkansas at Monticello,,
unmatched,0.000,none,106494,Arthur's Beauty College,,
unmatched,0.000,none,106546,Baptist Health College Little Rock,,
unmatched,0.000,none,106625,Black River Technical College,,
unmatched,0.000,none,106704,University of Central Arkansas,,
unmatched,0.000,none,106713,Central Baptist College,,
unmatched,0.000,none,106795,Cossatot Community College of the University of Arkansas,,
unmatched,0.000,none,106810,Crowley's Ridge College,,
unmatched,0.000,none,106883,East Arkansas Community College,,
unmatched,0.000,none,106892,Eastern College of Health Vocations-Little Rock,,
unmatched,0.000,none,106908,Paul Mitchell the School-Little Rock,,
unmatched,0.000,none,106980,National Park College,,
unmatched,0.000,none,106999,University of Arkansas Community College-Batesville,,
unmatched,0.000,none,107044,Harding University,,
unmatched,0.000,none,10704401,Harding School of Theology,,
unmatched,0.000,none,107071,Henderson State University,,
unmatched,0.000,none,107080,Hendrix College,,
unmatched,0.000,none,107099,Hot Springs Beauty College,,
unmatched,0.000,none,107123,Jefferson Regional School of Nursing,,
unmatched,0.000,none,107141,John Brown University,,
unmatched,0.000,none,107220,Career Academy of Hair Design,,
unmatched,0.000,none,10722001,Career Academy of Hair Design-Siloam Springs,,
unmatched,0.000,none,10722002,Career Academy of Hair Design-Rogers,,
unmatched,0.000,none,10722003,Career Academy of Hair Design-Fayetteville,,
unmatched,0.000,none,10722004,Career Academy of Hair Design - Fort Smith,,
unmatched,0.000,none,107293,Academy of Salon and Spa,,
unmatched,0.000,none,107318,Arkansas State University Mid-South,,
unmatched,0.000,none,107327,Arkansas Northeastern College,,
unmatched,0.000,none,107442,New Tyler Barber College Inc,,
unmatched,0.000,none,107460,North Arkansas College,,
unmatched,0.000,none,107488,Northwest Technical Institute,,
unmatched,0.000,none,107512,Ouachita Baptist University,,
unmatched,0.000,none,107521,Arkansas State University Three Rivers,,
unmatched,0.000,none,107549,Ozarka College,,
unmatched,0.000,none,107558,University of the Ozarks,,
unmatched,0.000,none,107585,University of Arkansas Community College-Morrilton,,
unmatched,0.000,none,107600,Philander Smith College,,
unmatched,0.000,none,107619,Phillips Community College of the University of Arkansas,,
unmatched,0.000,none,107637,Southeast Arkansas College,,
unmatched,0.000,none,107655,Professional Cosmetology Education Center,,
unmatched,0.000,none,107664,University of Arkansas-Pulaski Technical College,,
unmatched,0.000,none,107725,University of Arkansas Hope-Texarkana,,
unmatched,0.000,none,10772501,University of Arkansas Community College at Hope - Texarkana,,
unmatched,0.000,none,107743,University of Arkansas Community College Rich Mountain,,
unmatched,0.000,none,107789,Paul Mitchell the School-Arkansas,,
unmatched,0.000,none,107831,Searcy Beauty College,,
unmatched,0.000,none,107840,Shorter College,,
unmatched,0.000,none,107877,Williams Baptist University,,
unmatched,0.000,none,107974,South Arkansas Community College,,
unmatched,0.000,none,107983,Southern Arkansas University Main Campus,,
unmatched,0.000,none,107992,Southern Arkansas University Tech,,
unmatched,0.000,none,108056,University of Arkansas System Office,,
unmatched,0.000,none,108065,Velvatex College of Beauty Culture,,
unmatched,0.000,none,108092,University of Arkansas-Fort Smith,,
unmatched,0.000,none,108232,Academy of Art University,,
unmatched,0.000,none,108269,Academy of Chinese Culture and Health Sciences,,
unmatched,0.000,none,108667,College of Alameda,,
unmatched,0.000,none,108807,Allan Hancock College,,
unmatched,0.000,none,108852,American Academy of Dramatic Arts-Los Angeles,,
unmatched,0.000,none,108861,Berkeley School of Theology,,
unmatched,0.000,none,108870,American Film Institute Conservatory,,
unmatched,0.000,none,108977,American Beauty College,,
unmatched,0.000,none,109040,American Career College-Los Angeles,,
unmatched,0.000,none,109086,American Conservatory Theater,,
unmatched,0.000,none,109208,American River College,,
unmatched,0.000,none,109350,Antelope Valley Community College District,,
unmatched,0.000,none,109651,Art Center College of Design,,
unmatched,0.000,none,109721,Associated Technical College-Los Angeles,,
unmatched,0.000,none,109730,Associated Technical College-San Diego,,
unmatched,0.000,none,109785,Azusa Pacific University,,
unmatched,0.000,none,109819,Bakersfield College,,
unmatched,0.000,none,109907,Barstow Community College,,
unmatched,0.000,none,109934,Bellus Academy-Chula Vista,,
unmatched,0.000,none,110060,Bethesda University,,
unmatched,0.000,none,110097,Biola University,,
unmatched,0.000,none,110194,Brownson Technical School,,
unmatched,0.000,none,110219,Bryan University,,
unmatched,0.000,none,110246,Butte College,,
unmatched,0.000,none,110316,California Institute of Integral Studies,,
unmatched,0.000,none,110334,Cabrillo College,,
unmatched,0.000,none,110361,California Baptist University,,
unmatched,0.000,none,110370,California College of the Arts,,
unmatched,0.000,none,110398,University of California-Hastings College of Law,,
unmatched,0.000,none,110404,California Institute of Technology,,
unmatched,0.000,none,110413,California Lutheran University,,
unmatched,0.000,none,110422,California Polytechnic State University-San Luis Obispo,,
unmatched,0.000,none,110468,Alliant International University-San Diego,,
unmatched,0.000,none,11046801,Alliant International University-Fresno,,
unmatched,0.000,none,11046802,Alliant International University-Los Angeles,,
unmatched,0.000,none,11046803,Alliant International University-San Francisco,,
unmatched,0.000,none,11046804,Alliant International University-Irvine,,
unmatched,0.000,none,11046805,Alliant International University-Sacramento,,
unmatched,0.000,none,110486,California State University-Bakersfield,,
unmatched,0.000,none,110495,California State University-Stanislaus,,
unmatched,0.000,none,110501,California State University-Chancellors Office,,
unmatched,0.000,none,110510,California State University-San Bernardino,,
unmatched,0.000,none,110529,California State Polytechnic University-Pomona,,
