status,nces_unitid,school_id,school_name,details
updated,204501,113,Oberlin College,"institution_control,institution_level"
updated,204796,114,Ohio State University,"institution_control,institution_level"
updated,243780,115,Purdue University,"institution_control,institution_level"
updated,239628,116,Ripon College,"institution_control,institution_level"
updated,179308,117,Saint Louis University,"institution_control,institution_level"
updated,149222,118,Southern Illinois University Carbondale,"institution_control,institution_level,locale"
updated,149231,119,Southern Illinois University Edwardsville,"institution_control,institution_level"
updated,206589,120,The College of Wooster,"institution_control,institution_level"
updated,144050,121,University of Chicago,"institution_control,institution_level"
updated,201885,122,University of Cincinnati,"institution_control,institution_level"
updated,145637,123,University of Illinois at Urbana-Champaign,"institution_control,institution_level"
updated,157289,124,University of Louisville,"institution_control,institution_level"
updated,171137,125,University of Michigan-Ann Arbor,"institution_control,institution_level"
updated,178396,126,University of Missouri-Columbia,"institution_control,institution_level"
updated,204468,127,University of Notre Dame,"institution_control,institution_level"
updated,240444,128,University of Wisconsin-Madison,"institution_control,institution_level"
updated,240462,129,University of Wisconsin-Platteville,"institution_control,institution_level"
updated,240480,130,University of Wisconsin-Stevens Point,"institution_control,institution_level"
updated,240189,131,University of Wisconsin-Whitewater,"institution_control,institution_level"
updated,179867,132,Washington University in St Louis,"institution_control,institution_level"
updated,149772,133,Western Illinois University,"institution_control,institution_level"
updated,172699,134,Western Michigan University,"institution_control,institution_level"
updated,12601201,135,Wright State University,"institution_control,locale"
updated,189088,136,Bard College,"institution_control,institution_level,locale"
updated,160977,137,Bates College,"institution_control,institution_level"
updated,161004,140,Bowdoin College,"institution_control,institution_level"
updated,165015,141,Brandeis University,"institution_control,institution_level"
updated,217156,142,Brown University,"institution_control,institution_level"
updated,211291,143,Bucknell University,"institution_control,institution_level"
updated,211440,144,Carnegie Mellon University,"institution_control,institution_level"
unmatched,230834,145,Castleton University,
updated,190044,146,Clarkson University,"institution_control,institution_level"
updated,161086,147,Colby College,"institution_control,institution_level"
updated,190415,149,Cornell University,"institution_control,institution_level"
updated,182670,150,Dartmouth College,"institution_control,institution_level"
updated,212054,151,Drexel University,"institution_control,institution_level"
updated,191515,152,Hamilton College,"institution_control,institution_level"
updated,166027,153,Harvard University,"institution_control,institution_level"
updated,213020,154,IIndiana University of Pennsylvania,"institution_control,institution_level"
updated,213251,155,Juniata College,"institution_control,institution_level"
updated,213385,156,Lafayette College,"institution_control,institution_level"
updated,213543,157,Lehigh University,"institution_control,institution_level"
unmatched,230940,158,Marlboro College (Closed in 2020),
updated,213826,159,Marywood University,"institution_control,institution_level"
updated,167288,160,Massachusetts College of Liberal Arts,"institution_control,institution_level"
updated,166683,161,Massachusetts Institute of Technology,"institution_control,institution_level"
updated,230959,162,Middlebury College,"institution_control,institution_level"
updated,193900,163,New York University,"institution_control,institution_level"
updated,207263,164,Northeastern University,"institution_control,institution_level"
updated,214591,165,Penn State Behrend,"institution_control,institution_level"
updated,214670,166,Penn State-Lehigh Valley,"institution_control,institution_level"
updated,214777,167,Penn State Main Campus,"institution_control,institution_level"
updated,183080,168,Plymouth State University,"institution_control,institution_level"
updated,186131,169,Princeton University,"institution_control,institution_level"
updated,194824,170,Rensselaer Polytechnic Institute,"institution_control,institution_level"
updated,217493,171,Rhode Island School of Design,"institution_control,institution_level"
updated,195003,172,Rochester Institute of Technology,"institution_control,institution_level"
updated,186380,173,Rutgers University-New Brunswick,"institution_control,institution_level"
updated,195216,174,Saint Lawrence University,"institution_control,institution_level"
updated,231059,175,Saint Michaels College,"institution_control,institution_level"
updated,216010,176,Shippensburg University of Pennsylvania,"institution_control,institution_level"
updated,167835,177,Smith College,"institution_control,institution_level,locale"
updated,196291,178,Suny Maritime College,"institution_control,institution_level"
updated,216287,179,Swarthmore College,"institution_control,institution_level"
updated,196413,180,Syracuse University,"institution_control,institution_level"
updated,228608,181,Temple University,"institution_control,institution_level"
updated,168148,182,Tufts University,"institution_control,institution_level"
updated,196866,183,Union College-NY,"institution_control,institution_level"
updated,130624,184,United States Coast Guard Academy,"institution_control,institution_level"
updated,129020,185,University of Connecticut,"institution_control,institution_level,locale"
updated,130943,186,University of Delaware,"institution_control,institution_level"
updated,161253,187,University of Maine-Orono,"institution_control,institution_level"
updated,369002,188,University of Massachusetts Amherst,"institution_control,institution_level"
updated,183044,189,University of New Hampshire,"institution_control,institution_level,locale"
updated,215062,190,University of Pennsylvania,"institution_control,institution_level"
updated,155681,191,University of Pittsburgh,"institution_control,institution_level"
updated,217484,192,University of Rhode Island,"institution_control,institution_level"
updated,195030,193,University of Rochester,"institution_control,institution_level"
updated,231174,194,University of Vermont,"institution_control,institution_level"
updated,197036,195,US Military Academy,"institution_control,institution_level"
updated,231165,196,Vermont Technical College,"institution_control,institution_level"
updated,168342,197,Williams College,"institution_control,institution_level"
updated,168421,198,Worcester Polytechnic Institute,"institution_control,institution_level"
updated,130794,199,Yale University,"institution_control,institution_level"
updated,230807,200,Westminster College,"institution_control,institution_level"
updated,475495,201,Rocky Mountain University of Health Professionals,"institution_control,institution_level"
updated,230764,202,University of Utah,"institution_control,institution_level"
updated,230728,203,Utah State University,"institution_control,institution_level"
updated,230737,204,Utah Valley University,"institution_control,institution_level"
updated,230782,205,Weber State University,"institution_control,institution_level"
updated,173461,206,Lake Superior College,"institution_control,institution_level"
updated,153603,207,Iowa State University,"institution_control,institution_level"
updated,175263,208,Minnesota State College Southeast - Red Wing,"institution_control,institution_level"
updated,153658,209,University of Iowa,"institution_control,institution_level"
updated,155399,210,University of Kansas,"institution_control,institution_level"
updated,174233,211,University of Minnesota-Duluth,"institution_control,institution_level"
updated,174066,212,University of Minnesota-Twin Cities,"institution_control,institution_level"
updated,181464,213,University of Nebraska-Lincoln,"institution_control,institution_level"
updated,210429,214,Southern Oregon University,"institution_control,institution_level"
updated,142115,216,Boise State University,"institution_control,institution_level"
updated,234827,217,Central Washington University,"institution_control,institution_level"
updated,235097,218,Eastern Washington University,"institution_control,institution_level"
updated,209056,220,Lewis & Clark College,"institution_control,institution_level"
updated,180461,221,Montana State University,"institution_control,institution_level,locale"
updated,209542,222,Oregon State University,"institution_control,institution_level"
updated,209825,223,Portland State University,"institution_control,institution_level"
updated,236595,224,Seattle University,"institution_control,institution_level"
updated,180489,225,The University of Montana,"institution_control,institution_level"
updated,142285,227,University of Idaho,"institution_control,institution_level"
updated,209551,228,University of Oregon,"institution_control,institution_level"
updated,236656,229,University of Puget Sound,"institution_control,institution_level"
updated,236948,230,University of Washington-Seattle,"institution_control,institution_level"
updated,210304,231,Warner Pacific University,"institution_control,institution_level"
updated,236939,232,Washington State University,"institution_control,institution_level"
updated,237011,233,Western Washington University,"institution_control,institution_level"
updated,237057,234,Whitman College,"institution_control,institution_level"
updated,226833,235,Midwestern State University,"institution_control,institution_level"
updated,222178,236,Abilene Christian University,"institution_control,institution_level"
updated,223232,237,Baylor University,"institution_control,institution_level"
updated,159391,238,Louisiana State University,"institution_control,institution_level"
updated,106342,239,Lyon College,"institution_control,institution_level"
updated,159966,240,Nicholls State University,"institution_control,institution_level"
updated,227757,241,Rice University,"institution_control,institution_level"
updated,228042,242,Schreiner University,"institution_control,institution_level"
updated,228723,243,Texas A & M University,"institution_control,institution_level"
updated,228459,244,Texas State University-San Marcos,"institution_control,institution_level"
updated,487320,245,Texas Tech University,"institution_control,institution_level"
updated,228778,246,The University of Texas at Austin,"institution_control,institution_level"
updated,484905,247,The University of Texas at Dallas,"institution_control,institution_level"
updated,106458,248,University of Arkansas,"institution_control,institution_level"
updated,160658,249,University of Louisiana-Lafayette,"institution_control,institution_level"
updated,409315,250,University of North Texas,"institution_control,institution_level"
updated,207500,251,University of Oklahoma,"institution_control,institution_level"
updated,228769,252,University of Texas at Arlington,"institution_control,institution_level"
updated,459949,253,University of Texas-San Antonio,"institution_control,institution_level,locale"
updated,142276,254,Idaho State University,"institution_control,institution_level"
updated,104151,256,Arizona State University,"institution_control,institution_level"
updated,208275,257,Blue Mt. Community College,"institution_control,institution_level"
updated,164924,258,Boston College,"institution_control,institution_level"
updated,164988,259,Boston University,"institution_control,institution_level"
updated,126818,261,Colorado State University,"institution_control,institution_level"
updated,190150,262,Columbia University-NYC,"institution_control,institution_level"
updated,133809,263,Florida State University,"institution_control,institution_level"
