status,nces_unitid,school_id,school_name,details
updated,139959,90,University of Georgia,"enrollment,acceptance_rate,graduation_rate"
unmatched,247737,91,University of Mississippi,
updated,482699,92,University of North Georgia,"enrollment,graduation_rate"
updated,451149,93,University of South Florida,enrollment
updated,200004,94,Western Carolina University,"enrollment,acceptance_rate,graduation_rate"
updated,177968,95,Lindenwood University,"enrollment,acceptance_rate,graduation_rate"
updated,239080,96,Marian University,"enrollment,acceptance_rate,graduation_rate"
updated,150136,97,Ball State University,"enrollment,acceptance_rate,graduation_rate"
updated,154800,98,Butler University,enrollment
updated,169080,99,Calvin College,"enrollment,acceptance_rate,graduation_rate"
updated,201645,100,Case Western Reserve University,"enrollment,acceptance_rate,graduation_rate"
updated,144740,101,DePaul University,"enrollment,acceptance_rate,graduation_rate"
updated,150400,102,DePauw University,"enrollment,acceptance_rate,graduation_rate"
updated,170286,103,Hillsdale College,"enrollment,acceptance_rate,graduation_rate"
updated,151351,104,Indiana University-Bloomington,"enrollment,acceptance_rate,graduation_rate"
updated,239017,105,Lawrence University,"enrollment,acceptance_rate,graduation_rate"
updated,204024,106,Miami University-Oxford,"enrollment,acceptance_rate,graduation_rate"
updated,171155,107,Michigan State University,enrollment
updated,171128,108,Michigan Technological University,"enrollment,acceptance_rate,graduation_rate"
updated,178411,109,Missouri University of Science and Technology,"enrollment,acceptance_rate,graduation_rate"
updated,147679,110,North Park University,"enrollment,acceptance_rate,graduation_rate"
updated,171456,111,Northern Michigan University,"enrollment,acceptance_rate,graduation_rate"
updated,260992,112,Northwestern University,"enrollment,graduation_rate"
updated,204501,113,Oberlin College,"enrollment,acceptance_rate,graduation_rate"
updated,204796,114,Ohio State University,"enrollment,acceptance_rate,graduation_rate"
updated,243780,115,Purdue University,"enrollment,acceptance_rate,graduation_rate"
updated,239628,116,Ripon College,"enrollment,acceptance_rate,graduation_rate"
updated,179308,117,Saint Louis University,"enrollment,graduation_rate"
updated,149222,118,Southern Illinois University Carbondale,"enrollment,acceptance_rate,graduation_rate"
updated,149231,119,Southern Illinois University Edwardsville,"enrollment,acceptance_rate,graduation_rate"
updated,206589,120,The College of Wooster,"enrollment,acceptance_rate,graduation_rate"
updated,144050,121,University of Chicago,"enrollment,acceptance_rate,graduation_rate"
updated,201885,122,University of Cincinnati,"enrollment,acceptance_rate,graduation_rate"
updated,145637,123,University of Illinois at Urbana-Champaign,"enrollment,acceptance_rate,graduation_rate"
updated,157289,124,University of Louisville,"enrollment,acceptance_rate,graduation_rate"
